,Station Intersection,Lat,Lng
0,Wellesley St E / Yonge St Green P,43.6689775,-79.3853383
1,Kendal Ave / Bernard Ave,43.6719294,-79.4084322
2,Parliament St / Aberdeen Ave,43.6650445,-79.3682814
3,College Park South,43.6595671,-79.3848314
4,McGill St / Church St,43.660678,-79.3788522
5,Bay St / Albert St,43.652962,-79.382633
6,Beverly St / College St W,43.6587134,-79.3958657
7,Ulster St / Bathurst St,43.6598108,-79.409058
8,Widmer St / Adelaide St ,43.6475685,-79.3915765
9,King St E / Jarvis St,43.6504548,-79.3718947
10,Augusta Ave / Dundas St W,43.6522676,-79.4011044
11,East Liberty St / Pirandello St,43.6386723,-79.4139607
12,Bond St / Queen St E,43.6529167,-79.3769128
13,King St W / Stafford St,43.6422906,-79.4107175
14,Simcoe St / Queen St W,43.6506493,-79.3874351
15,Gould St / Mutual St,43.658524,-79.3763397
16,Dundas St / Yonge St,43.656325,-79.380903
17,Davenport Rd / Bedford Rd,43.6743644,-79.3998092
18,Sherbourne St / Wellesley St,43.6670726,-79.3746546
19,King St W / Tecumseth St,43.6433939,-79.4052578
20,University Ave / Elm St,43.656355,-79.388809
21,Yonge St / Wood St,43.6620286,-79.383353
22,Victoria St / Gould St (Ryerson University),43.6576585,-79.3788017
23,Richmond St E / Jarvis St Green P,43.6531574,-79.3686431
24,Summerhill Station,43.6822899,-79.3907744
25,Harbord St / Clinton St,43.6602673,-79.4158311
26,25 York St (ACC/Union Station South),43.6434445,-79.3809378
27,Front St W / Blue Jays Way,43.6434252,-79.3912575
28,University Ave / Gerrard St W,43.65753,-79.389626
29,College St W / Borden St,43.6552194,-79.4138604
30,Bremner Blvd / Spadina Ave,43.6405619,-79.392866
31,Navy Wharf Ct. / Bremner Blvd.,43.6407935,-79.3915459
32,Dundas St E / Parliament St,43.6594276,-79.3659956
33,Niagara St / Tecumseth St,43.641387,-79.4044383
34,Chester Station,43.6782356,-79.3524545
35,Union Station,43.6452202,-79.3805981
36,Church St / Bloor St E,43.6710294,-79.3831411
37,Palmerston Ave / Vermont Ave,43.6715996,-79.4163406
38,Queen St W / York St (City Hall),43.6534399,-79.3840901
39,Danforth Ave / Gough Ave,43.6786924,-79.3461056
40,Simcoe St / Dundas St W,43.6546762,-79.3892019
41,Bay St / College St (East Side),43.6609626,-79.3855794
42,University Ave / King St W,43.6476597,-79.3848122
43,Simcoe St / Wellington St W,43.6460702,-79.3855226
44,Bay St / St. Joseph St,43.6656458,-79.3876771
45,Niagara St / Richmond St W,43.6450333,-79.4094564
46,Front St / Yonge St (Hockey Hall of Fame),43.6472722,-79.3776902
47,Bathurst St / Queens Quay W,43.6357028,-79.398422
48,Queen St W / Gladstone Ave,43.6425333,-79.4271162
49,Madison Ave / Bloor St W,43.6669032,-79.4026884
50,Fort York  Blvd / Capreol Crt,43.6398746,-79.3956134
51,College St W / Major St,43.6620868,-79.4046407
52,Church St / Alexander St,43.6636798,-79.3800945
53,Dundas St E / Regent Park Blvd,43.6603557,-79.3618038
54,Front St / Bay St (North Side),43.64613,-79.379295
55,King St W / Bay St (West Side),43.648724,-79.379623
56,Queens Quay / Yonge St,43.6419596,-79.3746697
57,Temperance St / Yonge St,43.6510529,-79.3786883
58,King St W / Fraser Ave,43.6394623,-79.4248104
59,Bay St / Davenport Rd,43.6730853,-79.3906658
60,Wellington St W / Portland St,43.6430181,-79.3994801
61,Seaton St / Dundas St E,43.6586458,-79.3694957
62,Dundas St W / Crawford St,43.6500648,-79.4170615
63,Princess St / Adelaide St,43.6523981,-79.3673842
64,Queen St W / Close Ave,43.6407312,-79.4359476
65,Wellington St W / Bay St,43.6473313,-79.3797062
66,Jarvis St / Isabella St,43.668869,-79.3794158
67,Bloor St W / Christie St,43.6635591,-79.4184063
68,Queen St W / Ossington Ave,43.644171,-79.4188508
69,Beverly  St / Dundas St W,43.653814,-79.3938243
70,Nelson St / Duncan St,43.6488016,-79.388923
71,Bay St / Queens Quay W (Ferry Terminal),43.6404124,-79.3757241
72,Queen St W / Dovercourt Rd,43.6434786,-79.4223717
73,Queens Quay W / Dan Leckie Way,43.6366169,-79.3966766
74,Scott St / The Esplanade,43.6463115,-79.3752547
75,Bathurst St / Dundas St W,43.6522958,-79.4060126
76,St George St / Bloor St W,43.6675177,-79.3998186
