,Station Intersection,Lat,Lng
0,Wellesley St E / Yonge St Green P,,
1,Kendal Ave / Bernard Ave,,
2,Parliament St / Aberdeen Ave,,
3,College Park South,,
4,McGill St / Church St,,
5,Bay St / Albert St,,
6,Beverly St / College St W,,
7,Ulster St / Bathurst St,,
8,Widmer St / Adelaide St ,,
9,King St E / Jarvis St,,
10,Augusta Ave / Dundas St W,,
11,East Liberty St / Pirandello St,,
12,Bond St / Queen St E,,
13,King St W / Stafford St,,
14,Simcoe St / Queen St W,,
15,Gould St / Mutual St,,
16,Dundas St / Yonge St,,
17,Davenport Rd / Bedford Rd,,
18,Sherbourne St / Wellesley St,,
19,King St W / Tecumseth St,,
20,University Ave / Elm St,,
21,Yonge St / Wood St,,
22,Victoria St / Gould St (Ryerson University),,
23,Richmond St E / Jarvis St Green P,,
24,Summerhill Station,,
25,Harbord St / Clinton St,,
26,25 York St (ACC/Union Station South),,
27,Front St W / Blue Jays Way,,
28,University Ave / Gerrard St W,,
29,College St W / Borden St,,
30,Bremner Blvd / Spadina Ave,,
31,Navy Wharf Ct. / Bremner Blvd.,,
32,Dundas St E / Parliament St,,
33,Niagara St / Tecumseth St,,
34,Chester Station,,
35,Union Station,,
36,Church St / Bloor St E,,
37,Palmerston Ave / Vermont Ave,,
38,Queen St W / York St (City Hall),,
39,Danforth Ave / Gough Ave,,
40,Simcoe St / Dundas St W,,
41,Bay St / College St (East Side),,
42,University Ave / King St W,,
43,Simcoe St / Wellington St W,,
44,Bay St / St. Joseph St,,
45,Niagara St / Richmond St W,,
46,Front St / Yonge St (Hockey Hall of Fame),,
47,Bathurst St / Queens Quay W,,
48,Queen St W / Gladstone Ave,,
49,Madison Ave / Bloor St W,,
50,Fort York  Blvd / Capreol Crt,,
51,College St W / Major St,,
52,Church St / Alexander St,,
53,Dundas St E / Regent Park Blvd,,
54,Front St / Bay St (North Side),,
55,King St W / Bay St (West Side),,
56,Queens Quay / Yonge St,,
57,Temperance St / Yonge St,,
58,King St W / Fraser Ave,,
59,Bay St / Davenport Rd,,
60,Wellington St W / Portland St,,
61,Seaton St / Dundas St E,,
62,Dundas St W / Crawford St,,
63,Princess St / Adelaide St,,
64,Queen St W / Close Ave,,
65,Wellington St W / Bay St,,
66,Jarvis St / Isabella St,,
67,Bloor St W / Christie St,,
68,Queen St W / Ossington Ave,,
69,Beverly  St / Dundas St W,,
70,Nelson St / Duncan St,,
71,Bay St / Queens Quay W (Ferry Terminal),,
72,Queen St W / Dovercourt Rd,,
73,Queens Quay W / Dan Leckie Way,,
74,Scott St / The Esplanade,,
75,Bathurst St / Dundas St W,,
76,St George St / Bloor St W,,
77,Bay St / Wellesley St W,,
78,Phoebe St / Spadina Ave,,
79,Lower Sherbourne St / The Esplanade,,
80,Roxton Rd / Harbord St,,
81,Yonge St / Harbour St,,
82,51 Parliament St,,
83,Gerrard St E / River St,,
84,424 Wellington St. W,,
85,Ontario Place Blvd / Remembrance Dr,,
86,King St W / Joe Shuster Way,,
87,Dockside Dr / Queens Quay E (Sugar Beach),,
88,Sherbourne St / Carlton St (Allan Gardens),,
89,Queen St W / Portland St,,
90,Wellington St W / Stafford St,,
91,College St W / Crawford St,,
92,Bathurst St / Fort York Blvd,,
93,Jarvis St / Dundas St E,,
94,Spadina Ave / Sussex Ave,,
95,Jarvis St / Carlton St,,
96,York St / Queens Quay W,,
97,Parliament St / Bloor St E,,
98,Mary McCormick Rec Centre (Sheridan Ave),,
99,Edward St / Yonge St,,
100,Danforth Ave / Aldridge Ave,,
101,Bremner Blvd / Rees St,,
102,Queen St W / Spadina Ave,,
103,College St W / Markham St,,
104,Queen St E / George St (Moss Park),,
105,Castle Frank Station,,
106,Cariboo St / Rail Path,,
107,Yarmouth Rd / Christie St,,
108,Augusta Ave / Denison Sq,,
109,Trinity St /Front St E,,
110,Ted Rogers Way / Bloor St E,,
111,Davenport Rd / Avenue Rd,,
112,King St W / Spadina Ave,,
113,Bay St / Bloor St W,,
114,Danforth Ave / Ellerbeck St,,
115,HTO Park (Queen's Quay W),,
116,Church St  / Wood St,,
117,Howard St / Sherbourne St,,
118,King St E / River St,,
119,Riverdale Park North (Broadview Ave),,
120,Dundonald St / Church St,,
121,Queen St W / Shaw St,,
122,Queens Park / Bloor St W,,
123,St. George St / Hoskin Ave,,
124,Yonge St / Yorkville Ave,,
125,Salem Ave / Bloor St W,,
126,Elizabeth St / Edward St (Bus Terminal),,
127,Metro Hall Plaza,,
128,Hanna Ave / Liberty St,,
129,Carlton St / Parliament St,,
130,Wellesley St / Queen's Park Cres,,
131,College St W / Huron St,,
132,Strachan Ave / Princes' Blvd,,
133,Riverdale Park South (Broadview Ave),,
134,Parliament St / Gerrard St,,
135,Hayter St / Laplante Ave,,
136,Bloor St W / Dundas St W,,
137,Bloor St / Brunswick Ave,,
138,80 Clinton St (North of College),,
139,King St W / Bay St (East Side),,
140,Jimmie Simpson Park (Queen St E),,
141,Lower Jarvis St / The Esplanade,,
142,Rusholme Park Cres / College St W,,
143,Queens Quay W / Lower Simcoe St,,
144,Euclid Ave / Bloor St W,,
145,Huron/ Harbord St,,
146,Exhibition GO (Atlantic Ave),,
147,Willcocks St / St. George St,,
148,Fort York Blvd / Garrison Rd,,
149,Cherry St / Mill St,,
150,Christie St / Benson Ave (Wychwood Barns),,
151,Macpherson Ave / Spadina Rd,,
152,King St W / Douro St,,
153,Glen Edyth Dr / Davenport Rd,,
154,161 Bleecker St (South of Wellesley),,
155,Sumach St / Carlton St. (Riverdale Farm),,
156,Front St E / Cherry St,,
157,Cherry St / Distillery Ln,,
158,Queen St E / Berkely St,,
159,University Ave / College St,,
160,Queen St E / Sackville St,,
161,Danforth Ave / Lamb Ave,,
162,Pape Subway Green P,,
163,Margueretta St / College St W,,
164,Bathurst St / Lennox St,,
165,Central Tech  (Harbord St),,
166,Ossington Ave / College St W,,
167,Sterling Rd / Dundas St W,,
168,Kendal Ave / Spadina Rd,,
169,Spadina Ave / Willcocks St,,
170,Donlands Station,,
171,Queen St W / Cowan Ave,,
172,Dufferin St / Sylvan Av (Dufferin Grove Park),,
173,Ossington Ave / Harrison St,,
174,Dundas St E / Broadview Ave,,
175,Ossington Ave / Bloor St W,,
176,Boston Ave / Queen St E,,
177,Bathurst Subway Station,,
178,Liberty St / Fraser Ave Green P,,
179,Bridgeman Ave / Kendal Ave,,
180,Claremont St / Dundas St W,,
181,Taddle Creek Park,,
182,Bloor GO / UP Station/ Rail Path,,
183,Stephenson Ave / Main St,,
184,Essex St / Christie St,,
185,Bridgeman Ave / Bathurst St,,
186,Dufferin St / Bloor St,,
187,Mill St / Tannery Rd,,
188,Davenport Rd / Christie St,,
189,Landsdowne Subway Green P,,
190,Davenport Rd / Bathurst St,,
191,Dundas St W / Edna Ave,,
192,Yonge St / Aylmer Ave,,
193,Marlborough Ave / Yonge St,,
194,Mortimer Ave / Coxwell Ave,,
195,Woodbine Subway Green P (Cedarvale Ave),,
196,Danforth Ave / Coxwell Ave,,
197,Danforth Ave / Barrington Ave,,
198,Danforth Ave / Westlake Ave,,
199,Lansdowne Ave / Whytock Ave,,
200,Princess St / Adelaide St E,,
201,Widmer St / Adelaide St W,,
202,Michael Sweet Ave / St. Patrick St,,
203,Sherbourne St / Wellesley St E,,
204,HTO Park (Queens Quay W),,
205,College St / Major St,,
206,Beverly St / College St,,
207,College St / Huron St,,
208,Ossington Ave / College St,,
209,College St / Markham St,,
210,Wellesley St E / Yonge St (Green P),,
211,St. George St / Bloor St W,,
212,College St / Borden St,,
213,424 Wellington St W,,
214,Margueretta St / College St,,
215,Lansdowne Subway Green P,,
