,Date,Time,temp,weather_main,rain_1h,rain_3h,rain_24h,rain_today
38433,2017-01-01,00:00:00,275.59,Rain,0.3,,,
38434,2017-01-01,00:00:00,275.59,Snow,0.3,,,
38435,2017-01-01,01:00:00,275.34,Rain,0.3,,,
38436,2017-01-01,02:00:00,275.56,Rain,0.3,,,
38437,2017-01-01,02:00:00,275.56,Mist,0.3,,,
38438,2017-01-01,02:00:00,275.56,Snow,0.3,,,
38439,2017-01-01,03:00:00,275.57,Rain,0.3,,,
38440,2017-01-01,04:00:00,274.92,Snow,,,,
38441,2017-01-01,05:00:00,274.66,Snow,,,,
38442,2017-01-01,06:00:00,274.14,Clouds,,,,
38443,2017-01-01,07:00:00,273.63,Clouds,,,,
38444,2017-01-01,08:00:00,273.63,Snow,,,,
38445,2017-01-01,09:00:00,273.4,Rain,0.3,,,
38446,2017-01-01,10:00:00,273.4,Snow,,,,
38447,2017-01-01,11:00:00,273.4,Clouds,,,,
38448,2017-01-01,12:00:00,273.39,Clouds,,,,
38449,2017-01-01,13:00:00,272.55,Clouds,,,,
38450,2017-01-01,14:00:00,272.35,Clouds,,,,
38451,2017-01-01,15:00:00,272.56,Clouds,,,,
38452,2017-01-01,16:00:00,273.57,Clear,,,,
38453,2017-01-01,17:00:00,274.16,Clear,,,,
38454,2017-01-01,18:00:00,275.16,Clear,,,,
38455,2017-01-01,19:00:00,275.37,Clear,,,,
38456,2017-01-01,20:00:00,275.57,Clear,,,,
38457,2017-01-01,21:00:00,275.76,Clear,,,,
38458,2017-01-01,22:00:00,275.36,Clear,,,,
38459,2017-01-01,23:00:00,274.15,Clear,,,,
38460,2017-01-02,00:00:00,273.33,Clear,,,,
38461,2017-01-02,01:00:00,273.15,Clear,,,,
38462,2017-01-02,02:00:00,271.89,Clear,,,,
38463,2017-01-02,03:00:00,271.91,Clear,,,,
38464,2017-01-02,04:00:00,271.09,Clouds,,,,
38465,2017-01-02,05:00:00,270.82,Clouds,,,,
38466,2017-01-02,06:00:00,270.57,Clouds,,,,
38467,2017-01-02,07:00:00,270.1,Clouds,,,,
38468,2017-01-02,08:00:00,270.08,Clouds,,,,
38469,2017-01-02,09:00:00,270.34,Clouds,,,,
38470,2017-01-02,10:00:00,270.85,Clouds,,,,
38471,2017-01-02,11:00:00,271.66,Clouds,,,,
38472,2017-01-02,12:00:00,271.19,Clouds,,,,
38473,2017-01-02,13:00:00,271.72,Clouds,,,,
38474,2017-01-02,14:00:00,271.91,Mist,,,,
38475,2017-01-02,15:00:00,273.11,Clouds,,,,
38476,2017-01-02,16:00:00,274.96,Clouds,,,,
38477,2017-01-02,17:00:00,276.36,Clouds,,,,
38478,2017-01-02,18:00:00,277.15,Clear,,,,
38479,2017-01-02,19:00:00,277.36,Clouds,,,,
38480,2017-01-02,20:00:00,276.96,Clouds,,,,
38481,2017-01-02,21:00:00,276.75,Clouds,,,,
38482,2017-01-02,22:00:00,276.36,Clouds,,,,
38483,2017-01-02,23:00:00,276.15,Clouds,,,,
38484,2017-01-03,00:00:00,276.13,Clouds,,,,
38485,2017-01-03,01:00:00,276.15,Clouds,,,,
38486,2017-01-03,02:00:00,276.76,Clouds,,,,
38487,2017-01-03,03:00:00,276.74,Drizzle,,,,
38488,2017-01-03,04:00:00,276.38,Mist,,,,
38489,2017-01-03,04:00:00,276.38,Drizzle,,,,
38490,2017-01-03,05:00:00,275.87,Mist,,,,
38491,2017-01-03,06:00:00,276.38,Mist,0.3,,,
38492,2017-01-03,06:00:00,276.38,Drizzle,0.3,,,
38493,2017-01-03,06:00:00,276.38,Rain,0.3,,,
38494,2017-01-03,07:00:00,276.11,Rain,0.3,,,
38495,2017-01-03,07:00:00,276.11,Mist,0.3,,,
38496,2017-01-03,07:00:00,276.11,Drizzle,0.3,,,
38497,2017-01-03,08:00:00,276.37,Rain,0.3,,,
38498,2017-01-03,08:00:00,276.37,Mist,0.3,,,
38499,2017-01-03,09:00:00,276.11,Rain,0.3,,,
38500,2017-01-03,09:00:00,276.11,Mist,0.3,,,
38501,2017-01-03,10:00:00,276.11,Mist,0.3,,,
38502,2017-01-03,10:00:00,276.11,Drizzle,0.3,,,
38503,2017-01-03,10:00:00,276.11,Rain,0.3,,,
38504,2017-01-03,11:00:00,276.12,Mist,0.3,,,
38505,2017-01-03,11:00:00,276.12,Drizzle,0.3,,,
38506,2017-01-03,11:00:00,276.12,Rain,0.3,,,
38507,2017-01-03,12:00:00,276.64,Rain,0.3,,,
38508,2017-01-03,12:00:00,276.64,Mist,0.3,,,
38509,2017-01-03,13:00:00,276.75,Rain,0.3,,,
38510,2017-01-03,13:00:00,276.75,Fog,0.3,,,
38511,2017-01-03,13:00:00,276.75,Mist,0.3,,,
38512,2017-01-03,13:00:00,276.75,Drizzle,0.3,,,
38513,2017-01-03,14:00:00,276.75,Rain,0.3,,,
38514,2017-01-03,14:00:00,276.75,Fog,0.3,,,
38515,2017-01-03,14:00:00,276.75,Mist,0.3,,,
