,0
0,0
1,Wellesley St E 
2,Kendal Ave 
3,Parliament St 
4,College Park South
5,McGill St 
6,Bay St 
7,Beverly St 
8,Ulster St 
9,Widmer St 
10,King St E 
11,Augusta Ave 
12,East Liberty St 
13,Bond St 
14,King St W 
15,Simcoe St 
16,Gould St 
17,Dundas St 
18,Davenport Rd 
19,Sherbourne St 
20,King St W 
21,University Ave 
22,Yonge St 
23,Victoria St 
24,Richmond St E 
25,Summerhill Station
26,Harbord St 
27,25 York St (ACC
28,Front St W 
29,University Ave 
30,College St W 
31,Bremner Blvd 
32,Navy Wharf Ct. 
33,Dundas St E 
34,Niagara St 
35,Chester Station
36,Union Station
37,Church St 
38,Palmerston Ave 
39,Queen St W 
40,Danforth Ave 
41,Simcoe St 
42,Bay St 
43,University Ave 
44,Simcoe St 
45,Bay St 
46,Niagara St 
47,Front St 
48,Bathurst St 
49,Queen St W 
50,Madison Ave 
51,Fort York  Blvd 
52,College St W 
53,Church St 
54,Dundas St E 
55,Front St 
56,King St W 
57,Queens Quay 
58,Temperance St 
59,King St W 
60,Bay St 
61,Wellington St W 
62,Seaton St 
63,Dundas St W 
64,Princess St 
65,Queen St W 
66,Wellington St W 
67,Jarvis St 
68,Bloor St W 
69,Queen St W 
70,Beverly  St 
71,Nelson St 
72,Bay St 
73,Queen St W 
74,Queens Quay W 
75,Scott St 
76,Bathurst St 
77,St George St 
78,Bay St 
79,Phoebe St 
80,Lower Sherbourne St 
81,Roxton Rd 
82,Yonge St 
83,51 Parliament St
84,Gerrard St E 
85,424 Wellington St. W
86,Ontario Place Blvd 
87,King St W 
88,Dockside Dr 
89,Sherbourne St 
90,Queen St W 
91,Wellington St W 
92,College St W 
93,Bathurst St 
94,Jarvis St 
95,Spadina Ave 
96,Jarvis St 
97,York St 
98,Parliament St 
99,Mary McCormick Rec Centre (Sheridan Ave)
100,Edward St 
101,Danforth Ave 
102,Bremner Blvd 
103,Queen St W 
104,College St W 
105,Queen St E 
106,Castle Frank Station
107,Cariboo St 
108,Yarmouth Rd 
109,Augusta Ave 
110,Trinity St 
111,Ted Rogers Way 
112,Davenport Rd 
113,King St W 
114,Bay St 
115,Danforth Ave 
116,HTO Park (Queen's Quay W)
117,Church St  
118,Howard St 
119,King St E 
120,Riverdale Park North (Broadview Ave)
121,Dundonald St 
122,Queen St W 
123,Queens Park 
124,St. George St 
125,Yonge St 
126,Salem Ave 
127,Elizabeth St 
128,Metro Hall Plaza
129,Hanna Ave 
130,Carlton St 
131,Wellesley St 
132,College St W 
133,Strachan Ave 
134,Riverdale Park South (Broadview Ave)
135,Parliament St 
136,Hayter St 
137,Bloor St W 
138,Bloor St 
139,80 Clinton St (North of College)
140,King St W 
141,Jimmie Simpson Park (Queen St E)
142,Lower Jarvis St 
143,Rusholme Park Cres 
144,Queens Quay W 
145,Euclid Ave 
146,Huron
147,Exhibition GO (Atlantic Ave)
148,Willcocks St 
149,Fort York Blvd 
150,Cherry St 
151,Christie St 
152,Macpherson Ave 
153,King St W 
154,Glen Edyth Dr 
155,161 Bleecker St (South of Wellesley)
156,Sumach St 
157,Front St E 
158,Cherry St 
159,Queen St E 
160,University Ave 
161,Queen St E 
162,Danforth Ave 
163,Pape Subway Green P
164,Margueretta St 
165,Bathurst St 
166,Central Tech  (Harbord St)
167,Ossington Ave 
168,Sterling Rd 
169,Kendal Ave 
170,Spadina Ave 
171,Donlands Station
172,Queen St W 
173,Dufferin St 
174,Ossington Ave 
175,Dundas St E 
176,Ossington Ave 
177,Boston Ave 
178,Bathurst Subway Station
179,Liberty St 
180,Bridgeman Ave 
181,Claremont St 
182,Taddle Creek Park
183,Bloor GO 
184,Stephenson Ave 
185,Essex St 
186,Bridgeman Ave 
187,Dufferin St 
188,Mill St 
189,Davenport Rd 
190,Landsdowne Subway Green P
191,Davenport Rd 
192,Dundas St W 
193,Yonge St 
194,Marlborough Ave 
195,Mortimer Ave 
196,Woodbine Subway Green P (Cedarvale Ave)
197,Danforth Ave 
198,Danforth Ave 
199,Danforth Ave 
200,Lansdowne Ave 
201,Princess St 
202,Widmer St 
203,Michael Sweet Ave 
204,Sherbourne St 
205,HTO Park (Queens Quay W)
206,College St 
207,Beverly St 
208,College St 
209,Ossington Ave 
210,College St 
211,Wellesley St E 
212,St. George St 
213,College St 
214,424 Wellington St W
215,Margueretta St 
216,Lansdowne Subway Green P
217,Dundas St W 
218,Front St W 
219,Bloor GO 
220,Front St W 
221,College St 
222,Rusholme Park Cres 
223,Queen St E 
224,The Royal Ontario Museum (Bloor St Entrance)
225,Spadina Ave 
226,Dundas St W 
227,Front St W 
228,Lower Spadina Ave 
229,Bloor St W 
230,Roxton Rd 
231,Bloor St W 
232,Base Station
233,Humber Bay Shores Park East
234,Lakeshore Blvd W 
235,Lakeshore Blvd W 
236,Ward Ave 
237,Humber Bay Shores Park West
238,Lake Shore Blvd W 
239,Sunnyside - Gus Ryder Pool
240,Martin Goodman Trail (Marilyn Bell Park)
241,High Park Subway Station
242,Queen St W 
243,Lake Shore Blvd W 
244,Toronto Eaton Centre (Yonge St)
245,Queen St W 
246,Roncesvalles Ave 
247,Garden Ave 
248,Dufferin Gate - SMART
249,Queen St W  
250,Dundas St W 
251,Sorauren
252,Howard Park Ave 
253,Wallace Ave 
254,St. George St 
255,Tecumseth St 
256,Parkside Dr 
257,Thompson St 
258,Dundas St E 
259,Baldwin Ave 
260,Queen's Park Cres E 
261,Bay St 
262,Gerrard St E 
263,King 
264,Church St 
265,Queen St E 
266,Walton St 
267,Rosehill Ave 
268,111 Bond St (North of Dundas St E)  - SMART
269,John St  
270,Victoria Park Subway Station - SMART
271,Bay St 
272,Charles St W 
273,Charles St E 
274,Chorley Park - SMART
275,Wright 
276,Yonge St 
277,519 Church St - SMART
278,Borden St 
279,Stewart St 
280,Bloor St E 
281,Wychwood Ave 
282,Yonge St 
283,Adelaide St W 
284,Bloor St W 
285,Robert St 
286,York St 
287,Spadina Ave 
288,Dovercourt Rd 
289,Vanauley St 
290,Summerhill Ave 
291,Bloor St W 
292,Exhibition GO Station
293,Fringe Next Stage - 7219
294,Church St  
295,Bathurst Subway Station
296,College St W 
297,King St W 
298,University Ave 
299,Niagara St 
300,Bathurst St 
301,Bathurst St 
302,Lower Sherbourne St 
303,University Ave 
304,Bay St 
305,25 York St (ACC
306,King St W 
307,Princess St 
308,East Liberty St 
309,Union Station
310,Victoria St 
