address1,address2
Queen St W  ,  Fuller Ave 
Queen St W  ,  Fuller Ave 
Parliament St , Aberdeen Ave
Parliament St , Aberdeen Ave
Princess St , Adelaide St
Princess St , Adelaide St
Widmer St , Adelaide St 
Widmer St , Adelaide St 
Princess St , Adelaide St E
Princess St , Adelaide St E
Widmer St , Adelaide St W
Spadina Ave , Adelaide St W
Widmer St , Adelaide St W
Spadina Ave , Adelaide St W
Bay St , Albert St
Bay St , Albert St
Danforth Ave , Aldridge Ave
Danforth Ave , Aldridge Ave
Church St , Alexander St
Church St , Alexander St
Yonge St , Alexander St 
Yonge St , Alexander St 
Davenport Rd , Avenue Rd
Davenport Rd , Avenue Rd
Rosehill Ave , Avoca Ave 
Rosehill Ave , Avoca Ave 
Yonge St , Aylmer Ave
Yonge St , Aylmer Ave
Bloor St W , Balmuto St
Bloor St W , Balmuto St
Charles St W , Balmuto St 
Charles St W , Balmuto St 
Danforth Ave , Barrington Ave
Danforth Ave , Barrington Ave
Ulster St , Bathurst St
Bridgeman Ave , Bathurst St
Davenport Rd , Bathurst St
Ulster St , Bathurst St
Davenport Rd , Bathurst St
Bridgeman Ave , Bathurst St
Stewart St , Bathurst St  
Stewart St , Bathurst St  
Wellington St W , Bay St
King St W , Bay St
Front St , Bay St
Wellington St W , Bay St
King St W , Bay St
Front St W , Bay St
Front St , Bay St 
King St W , Bay St 
King St W , Bay St 
Front St W , Bay St 
Front St W , Bay St 
Adelaide St W , Bay St 
Front St W , Bay St 
Adelaide St W , Bay St 
Davenport Rd , Bedford Rd
Davenport Rd , Bedford Rd
Christie St , Benson Ave
Christie St , Benson Ave 
Wychwood Ave , Benson Ave 
Wychwood Ave , Benson Ave 
Queen St E , Berkely St
Queen St E , Berkely St
Kendal Ave , Bernard Ave
Kendal Ave , Bernard Ave
Dufferin St , Bloor St
Dufferin St , Bloor St
Church St , Bloor St E
Parliament St , Bloor St E
Ted Rogers Way , Bloor St E
Ted Rogers Way , Bloor St E
Church St , Bloor St E
Parliament St , Bloor St E
Madison Ave , Bloor St W
St George St , Bloor St W
Bay St , Bloor St W
Queens Park , Bloor St W
Salem Ave , Bloor St W
Euclid Ave , Bloor St W
Ossington Ave , Bloor St W
St. George St , Bloor St W
Euclid Ave , Bloor St W
Madison Ave , Bloor St W
Bay St , Bloor St W
Queens Park , Bloor St W
St George St , Bloor St W
Salem Ave , Bloor St W
Ossington Ave , Bloor St W
St. George St , Bloor St W
Parkside Dr , Bloor St W 
Borden St , Bloor St W 
Robert St , Bloor St W 
Parkside Dr , Bloor St W 
Borden St , Bloor St W 
Robert St , Bloor St W 
Front St W , Blue Jays Way
Front St W , Blue Jays Way
College St W , Borden St
College St , Borden St
College St W , Borden St
College St , Borden St
Navy Wharf Ct. , Bremner Blvd.
Navy Wharf Ct. , Bremner Blvd.
Gerrard St E , Broadview 
Gerrard St E , Broadview 
Dundas St E , Broadview Ave
Dundas St E , Broadview Ave
Thompson St , Broadview Ave 
Thompson St , Broadview Ave 
Bloor St , Brunswick Ave
Bloor St , Brunswick Ave
Fort York  Blvd , Capreol Crt
